count,total,acc
20,20000,100.0
40,20000,97.5
60,20000,96.66666666666667
80,20000,96.25
100,20000,97.0
120,20000,97.5
140,20000,97.85714285714286
160,20000,96.25
180,20000,96.11111111111111
200,20000,95.5
220,20000,95.45454545454545
240,20000,95.83333333333333
260,20000,95.76923076923077
280,20000,95.71428571428571
300,20000,95.66666666666667
320,20000,95.9375
340,20000,96.17647058823529
360,20000,96.11111111111111
380,20000,96.3157894736842
400,20000,96.0
420,20000,95.47619047619048
440,20000,95.45454545454545
460,20000,95.43478260869566
480,20000,95.625
500,20000,95.6
520,20000,95.1923076923077
540,20000,94.81481481481481
560,20000,95.0
580,20000,94.82758620689656
600,20000,95.0
620,20000,95.16129032258064
640,20000,94.84375
660,20000,94.84848484848484
680,20000,95.0
700,20000,95.0
720,20000,95.0
740,20000,94.86486486486487
760,20000,95.0
780,20000,94.61538461538461
800,20000,94.625
820,20000,94.51219512195122
840,20000,94.4047619047619
860,20000,94.53488372093024
880,20000,94.6590909090909
900,20000,94.66666666666667
920,20000,94.67391304347827
940,20000,94.7872340425532
960,20000,94.79166666666667
980,20000,94.79591836734694
1000,20000,94.9
1020,20000,94.70588235294117
1040,20000,94.51923076923077
1060,20000,94.24528301886792
1080,20000,94.07407407407408
1100,20000,93.9090909090909
1120,20000,93.92857142857143
1140,20000,93.7719298245614
1160,20000,93.79310344827586
1180,20000,93.8135593220339
1200,20000,93.91666666666667
1220,20000,93.85245901639344
1240,20000,93.95161290322581
1260,20000,93.88888888888889
1280,20000,93.828125
1300,20000,93.6923076923077
1320,20000,93.78787878787878
1340,20000,93.88059701492537
1360,20000,93.97058823529412
1380,20000,93.98550724637681
1400,20000,94.0
1420,20000,94.08450704225352
1440,20000,94.02777777777777
1460,20000,93.9041095890411
1480,20000,93.98648648648648
1500,20000,94.06666666666666
1520,20000,94.07894736842105
1540,20000,94.0909090909091
1560,20000,94.16666666666667
1580,20000,94.11392405063292
1600,20000,94.125
1620,20000,94.1358024691358
1640,20000,93.96341463414635
1660,20000,93.855421686747
1680,20000,93.80952380952381
1700,20000,93.88235294117646
1720,20000,93.95348837209302
1740,20000,94.02298850574712
1760,20000,94.0909090909091
1780,20000,94.10112359550561
1800,20000,94.16666666666667
1820,20000,94.17582417582418
1840,20000,94.02173913043478
1860,20000,93.97849462365592
1880,20000,93.93617021276596
1900,20000,93.94736842105263
1920,20000,93.90625
1940,20000,93.96907216494846
1960,20000,94.03061224489795
1980,20000,94.04040404040404
2000,20000,94.05
2020,20000,93.96039603960396
2040,20000,94.01960784313725
2060,20000,93.98058252427184
2080,20000,93.99038461538461
2100,20000,94.0
2120,20000,94.05660377358491
2140,20000,94.06542056074767
2160,20000,93.98148148148148
2180,20000,93.9908256880734
2200,20000,93.95454545454545
2220,20000,93.91891891891892
2240,20000,93.88392857142857
2260,20000,93.80530973451327
2280,20000,93.85964912280701
2300,20000,93.8695652173913
2320,20000,93.87931034482759
2340,20000,93.88888888888889
2360,20000,93.94067796610169
2380,20000,93.90756302521008
2400,20000,93.91666666666667
2420,20000,93.92561983471074
2440,20000,93.85245901639344
2460,20000,93.86178861788618
2480,20000,93.87096774193549
2500,20000,93.92
2520,20000,93.92857142857143
2540,20000,93.89763779527559
2560,20000,93.90625
2580,20000,93.87596899224806
2600,20000,93.92307692307692
2620,20000,93.93129770992367
2640,20000,93.93939393939394
2660,20000,93.98496240601504
2680,20000,94.02985074626865
2700,20000,94.0
2720,20000,94.04411764705883
2740,20000,94.05109489051095
2760,20000,94.09420289855072
2780,20000,94.06474820143885
2800,20000,94.03571428571429
2820,20000,94.04255319148936
2840,20000,94.01408450704226
2860,20000,93.98601398601399
2880,20000,93.99305555555556
2900,20000,93.96551724137932
2920,20000,93.97260273972603
2940,20000,93.91156462585035
2960,20000,93.95270270270271
2980,20000,93.99328859060402
3000,20000,94.03333333333333
3020,20000,94.00662251655629
3040,20000,93.94736842105263
3060,20000,93.92156862745098
3080,20000,93.92857142857143
3100,20000,93.93548387096774
3120,20000,93.91025641025641
3140,20000,93.94904458598727
3160,20000,93.9873417721519
3180,20000,93.99371069182389
3200,20000,94.03125
3220,20000,94.06832298136646
3240,20000,94.07407407407408
3260,20000,94.11042944785277
3280,20000,94.11585365853658
3300,20000,94.0909090909091
3320,20000,94.09638554216868
3340,20000,94.10179640718563
3360,20000,94.10714285714286
3380,20000,94.0828402366864
3400,20000,94.05882352941177
3420,20000,94.00584795321637
3440,20000,93.95348837209302
3460,20000,93.90173410404624
3480,20000,93.9367816091954
3500,20000,93.91428571428571
3520,20000,93.92045454545455
3540,20000,93.8135593220339
3560,20000,93.84831460674157
3580,20000,93.85474860335195
3600,20000,93.88888888888889
3620,20000,93.86740331491713
3640,20000,93.9010989010989
3660,20000,93.87978142076503
3680,20000,93.83152173913044
3700,20000,93.83783783783784
3720,20000,93.87096774193549
3740,20000,93.85026737967914
3760,20000,93.8563829787234
3780,20000,93.86243386243386
3800,20000,93.86842105263158
3820,20000,93.90052356020942
3840,20000,93.88020833333333
3860,20000,93.9119170984456
3880,20000,93.8917525773196
3900,20000,93.92307692307692
3920,20000,93.92857142857143
3940,20000,93.95939086294416
3960,20000,93.96464646464646
3980,20000,93.94472361809045
4000,20000,93.975
4020,20000,93.95522388059702
4040,20000,93.98514851485149
4060,20000,93.91625615763547
4080,20000,93.87254901960785
4100,20000,93.85365853658537
4120,20000,93.88349514563107
4140,20000,93.84057971014492
4160,20000,93.8701923076923
4180,20000,93.8755980861244
4200,20000,93.88095238095238
4220,20000,93.88625592417061
4240,20000,93.89150943396227
4260,20000,93.89671361502347
4280,20000,93.92523364485982
4300,20000,93.90697674418605
4320,20000,93.93518518518519
4340,20000,93.94009216589862
4360,20000,93.94495412844037
4380,20000,93.97260273972603
4400,20000,93.97727272727273
4420,20000,93.98190045248869
4440,20000,93.98648648648648
4460,20000,93.99103139013452
4480,20000,93.97321428571429
4500,20000,94.0
4520,20000,94.00442477876106
4540,20000,94.00881057268722
4560,20000,93.99122807017544
4580,20000,94.0174672489083
4600,20000,94.02173913043478
4620,20000,94.04761904761905
4640,20000,94.03017241379311
4660,20000,94.05579399141631
4680,20000,93.9957264957265
4700,20000,94.02127659574468
4720,20000,94.0042372881356
4740,20000,93.9873417721519
4760,20000,94.0126050420168
4780,20000,93.97489539748953
4800,20000,94.0
4820,20000,93.98340248962656
4840,20000,93.96694214876032
4860,20000,93.97119341563786
4880,20000,93.97540983606558
4900,20000,94.0
4920,20000,94.02439024390245
4940,20000,94.02834008097166
4960,20000,94.03225806451613
4980,20000,94.0160642570281
5000,20000,93.98
5020,20000,93.98406374501992
5040,20000,93.92857142857143
5060,20000,93.89328063241106
5080,20000,93.89763779527559
5100,20000,93.88235294117646
5120,20000,93.8671875
5140,20000,93.89105058365759
5160,20000,93.87596899224806
5180,20000,93.86100386100387
5200,20000,93.88461538461539
5220,20000,93.88888888888889
5240,20000,93.89312977099236
5260,20000,93.89733840304183
5280,20000,93.84469696969697
5300,20000,93.84905660377359
5320,20000,93.83458646616542
5340,20000,93.80149812734082
